Complaint ID,Customer ID,Product/Service,Complaint Category,Date Filed,Date Resolved,Status,Resolution Time (Days),Month_Year,Resolution_Flag,Is_Timely
820407,28631,Insurance Plan,Delivery,2024-05-24,2024-06-11,Resolved,18.0,2024-05,1,0
262537,23083,Digital Scale,Product Quality,2024-06-30,2024-07-28,Resolved,28.0,2024-06,1,0
459273,52729,Digital Scale,Service,2024-05-10,2024-05-20,Resolved,10.0,2024-05,1,1
271580,63115,Personal Safe,Delivery,2023-10-26,,Unresolved,,2023-10,0,0
282178,17532,Fitness Tracker,Product Quality,2024-07-18,2024-08-16,Resolved,29.0,2024-07,1,0
608969,98598,Customer Support Service,Delivery,2023-11-12,2023-11-20,Resolved,8.0,2023-11,1,1
425538,86606,Cloud Storage,Product Quality,2024-02-07,2024-02-27,Resolved,20.0,2024-02,1,0
630128,19045,Fitness Tracker,Service,2024-08-12,,Unresolved,,2024-08,0,0
588941,18285,Digital Scale,Service,2024-08-24,2024-08-28,Resolved,4.0,2024-08,1,1
921215,73034,Insurance Plan,Billing,2023-12-05,2024-01-03,Resolved,29.0,2023-12,1,0
655434,96496,Home Security System,Product Quality,2024-02-19,2024-03-10,Resolved,20.0,2024-02,1,0
776011,54527,Home Security System,Delivery,2023-10-31,2023-11-09,Resolved,9.0,2023-10,1,1
226694,34562,Home Security System,Technical Support,2023-12-01,2023-12-11,Resolved,10.0,2023-12,1,1
704514,40651,Home Security System,Service,2024-02-20,,Unresolved,,2024-02,0,0
381559,54129,Personal Safe,Technical Support,2024-03-11,2024-03-23,Resolved,12.0,2024-03,1,0
866567,66699,Digital Scale,Technical Support,2023-12-26,2023-12-30,Resolved,4.0,2023-12,1,1
902524,55819,Digital Scale,Service,2024-07-02,2024-07-11,Resolved,9.0,2024-07,1,1
593413,85069,Home Security System,Billing,2023-12-31,,Unresolved,,2023-12,0,0
100216,73029,Weight Loss Program,Billing,2024-05-16,2024-05-23,Resolved,7.0,2024-05,1,1
807469,43859,Weight Loss Program,Delivery,2023-11-15,2023-12-05,Resolved,20.0,2023-11,1,0
640416,10972,Cloud Storage,Technical Support,2024-03-30,2024-04-14,Resolved,15.0,2024-03,1,0
300152,52757,Digital Scale,Service,2023-09-16,2023-10-03,Resolved,17.0,2023-09,1,0
307163,14924,Cloud Storage,Technical Support,2023-09-01,2023-09-27,Resolved,26.0,2023-09,1,0
763821,15817,Digital Scale,Product Quality,2024-05-27,,Unresolved,,2024-05,0,0
569103,74656,Weight Loss Program,Delivery,2024-03-28,2024-04-12,Resolved,15.0,2024-03,1,0
177124,38208,Home Security System,Delivery,2023-09-02,2023-09-29,Resolved,27.0,2023-09,1,0
178158,16647,Insurance Plan,Product Quality,2024-03-24,,Unresolved,,2024-03,0,0
807802,33971,Home Security System,Delivery,2024-01-07,,Unresolved,,2024-01,0,0
838416,18804,Home Security System,Service,2023-12-25,2024-01-09,Resolved,15.0,2023-12,1,0
945182,77685,Fitness Tracker,Product Quality,2023-11-15,2023-11-24,Resolved,9.0,2023-11,1,1
788707,21357,Drone Delivery Service,Technical Support,2023-11-13,2023-12-12,Resolved,29.0,2023-11,1,0
355701,47102,Home Security System,Product Quality,2024-04-25,2024-05-25,Resolved,30.0,2024-04,1,0
977109,99546,Mobile Banking App,Technical Support,2024-02-24,2024-03-10,Resolved,15.0,2024-02,1,0
417231,27411,Drone Delivery Service,Technical Support,2024-06-13,2024-06-19,Resolved,6.0,2024-06,1,1
941434,21281,Drone Delivery Service,Delivery,2024-03-31,2024-04-28,Resolved,28.0,2024-03,1,0
939442,57326,Cloud Storage,Delivery,2023-10-08,2023-10-27,Resolved,19.0,2023-10,1,0
204240,46312,Weight Loss Program,Technical Support,2024-08-04,,Unresolved,,2024-08,0,0
547957,56151,Home Security System,Product Quality,2023-10-25,2023-11-03,Resolved,9.0,2023-10,1,1
929717,50894,Drone Delivery Service,Service,2024-06-19,2024-07-05,Resolved,16.0,2024-06,1,0
829761,68556,Weight Loss Program,Billing,2023-09-23,,Unresolved,,2023-09,0,0
205113,41203,Insurance Plan,Billing,2024-04-21,2024-05-08,Resolved,17.0,2024-04,1,0
803752,77452,Drone Delivery Service,Delivery,2023-10-22,2023-11-10,Resolved,19.0,2023-10,1,0
306606,31514,Drone Delivery Service,Technical Support,2023-10-26,2023-11-16,Resolved,21.0,2023-10,1,0
656316,44208,Fitness Tracker,Delivery,2023-12-28,2024-01-10,Resolved,13.0,2023-12,1,0
924492,99060,Cloud Storage,Billing,2024-01-26,2024-01-29,Resolved,3.0,2024-01,1,1
458567,61418,Home Security System,Technical Support,2024-03-28,2024-04-16,Resolved,19.0,2024-03,1,0
101800,98150,Cloud Storage,Technical Support,2024-02-14,2024-02-15,Resolved,1.0,2024-02,1,1
221503,57392,Weight Loss Program,Billing,2023-10-14,2023-10-22,Resolved,8.0,2023-10,1,1
105883,20380,Mobile Banking App,Billing,2024-07-22,2024-08-08,Resolved,17.0,2024-07,1,0
567350,37042,Weight Loss Program,Technical Support,2024-08-08,2024-08-29,Resolved,21.0,2024-08,1,0
150874,22434,Digital Scale,Billing,2023-10-24,2023-11-18,Resolved,25.0,2023-10,1,0
316308,55683,Cloud Storage,Technical Support,2024-05-27,2024-06-13,Resolved,17.0,2024-05,1,0
875124,30516,Mobile Banking App,Delivery,2024-07-20,2024-07-28,Resolved,8.0,2024-07,1,1
220891,56192,Digital Scale,Service,2024-08-19,2024-09-09,Resolved,21.0,2024-08,1,0
581088,88636,Insurance Plan,Delivery,2023-12-30,2024-01-29,Resolved,30.0,2023-12,1,0
801190,37869,Personal Safe,Service,2023-08-31,2023-09-01,Resolved,1.0,2023-08,1,1
141883,86987,Cloud Storage,Delivery,2024-01-07,2024-01-08,Resolved,1.0,2024-01,1,1
683420,15977,Cloud Storage,Billing,2024-08-12,2024-08-29,Resolved,17.0,2024-08,1,0
535323,91655,Personal Safe,Product Quality,2024-06-01,2024-06-19,Resolved,18.0,2024-06,1,0
313860,41852,Digital Scale,Product Quality,2024-07-10,2024-07-19,Resolved,9.0,2024-07,1,1
437988,73520,Personal Safe,Product Quality,2024-04-22,2024-05-07,Resolved,15.0,2024-04,1,0
836401,40636,Drone Delivery Service,Product Quality,2024-02-23,2024-03-17,Resolved,23.0,2024-02,1,0
520057,17883,Cloud Storage,Delivery,2024-06-27,2024-07-19,Resolved,22.0,2024-06,1,0
368858,41248,Fitness Tracker,Billing,2023-10-09,2023-10-17,Resolved,8.0,2023-10,1,1
297788,81342,Insurance Plan,Product Quality,2023-11-13,2023-11-18,Resolved,5.0,2023-11,1,1
984296,12737,Home Security System,Product Quality,2024-04-21,2024-05-08,Resolved,17.0,2024-04,1,0
842019,75568,Mobile Banking App,Delivery,2023-12-16,2024-01-03,Resolved,18.0,2023-12,1,0
666979,38726,Mobile Banking App,Delivery,2023-10-07,2023-11-01,Resolved,25.0,2023-10,1,0
999443,99609,Insurance Plan,Service,2023-12-30,2023-12-31,Resolved,1.0,2023-12,1,1
360650,53544,Personal Safe,Delivery,2024-01-06,2024-01-10,Resolved,4.0,2024-01,1,1
484582,27014,Customer Support Service,Delivery,2024-06-18,2024-06-29,Resolved,11.0,2024-06,1,0
105044,28833,Digital Scale,Technical Support,2023-10-28,2023-11-08,Resolved,11.0,2023-10,1,0
458054,76407,Home Security System,Technical Support,2024-05-07,2024-05-30,Resolved,23.0,2024-05,1,0
408128,98642,Drone Delivery Service,Service,2024-08-06,2024-08-14,Resolved,8.0,2024-08,1,1
375995,21966,Fitness Tracker,Delivery,2024-05-28,2024-06-23,Resolved,26.0,2024-05,1,0
747731,36941,Customer Support Service,Delivery,2023-12-05,2023-12-10,Resolved,5.0,2023-12,1,1
249706,90417,Cloud Storage,Billing,2024-08-24,2024-09-09,Resolved,16.0,2024-08,1,0
398675,73541,Fitness Tracker,Service,2024-05-09,2024-06-04,Resolved,26.0,2024-05,1,0
530875,25814,Home Security System,Technical Support,2024-06-20,2024-06-21,Resolved,1.0,2024-06,1,1
455681,96786,Digital Scale,Service,2024-02-11,2024-03-06,Resolved,24.0,2024-02,1,0
550561,27234,Personal Safe,Billing,2024-08-23,,Unresolved,,2024-08,0,0
269023,92515,Home Security System,Technical Support,2023-10-15,2023-11-08,Resolved,24.0,2023-10,1,0
518119,89660,Mobile Banking App,Billing,2024-03-03,2024-03-05,Resolved,2.0,2024-03,1,1
234659,80216,Digital Scale,Technical Support,2023-11-07,2023-11-29,Resolved,22.0,2023-11,1,0
978007,97487,Home Security System,Technical Support,2024-07-14,,Unresolved,,2024-07,0,0
899697,17392,Digital Scale,Service,2024-01-18,,Unresolved,,2024-01,0,0
314641,70172,Insurance Plan,Billing,2024-02-24,2024-03-15,Resolved,20.0,2024-02,1,0
252701,19135,Cloud Storage,Technical Support,2023-12-07,2023-12-24,Resolved,17.0,2023-12,1,0
474337,81779,Insurance Plan,Technical Support,2023-09-07,2023-10-06,Resolved,29.0,2023-09,1,0
404704,75844,Customer Support Service,Service,2023-10-24,2023-11-23,Resolved,30.0,2023-10,1,0
570815,44223,Weight Loss Program,Delivery,2024-04-26,2024-05-23,Resolved,27.0,2024-04,1,0
276787,32227,Insurance Plan,Service,2024-08-15,2024-08-16,Resolved,1.0,2024-08,1,1
565196,88207,Weight Loss Program,Technical Support,2023-11-28,2023-12-28,Resolved,30.0,2023-11,1,0
761368,69805,Drone Delivery Service,Billing,2023-11-17,2023-12-12,Resolved,25.0,2023-11,1,0
870141,77655,Fitness Tracker,Billing,2024-08-28,2024-09-04,Resolved,7.0,2024-08,1,1
258872,65616,Fitness Tracker,Product Quality,2024-08-09,2024-09-03,Resolved,25.0,2024-08,1,0
771579,15935,Cloud Storage,Delivery,2023-11-01,2023-11-26,Resolved,25.0,2023-11,1,0
302840,99705,Personal Safe,Service,2024-01-07,2024-01-14,Resolved,7.0,2024-01,1,1
849467,76598,Cloud Storage,Delivery,2023-12-31,2024-01-12,Resolved,12.0,2023-12,1,0
674619,15567,Digital Scale,Technical Support,2023-11-13,2023-11-19,Resolved,6.0,2023-11,1,1
748078,29317,Digital Scale,Billing,2023-09-02,2023-09-13,Resolved,11.0,2023-09,1,0
